location,num_theatres,num_seats,total_operating_revenue,total_operating_expenses,average_ticket_prices,profit_margin,full-time_employment
Ontario,189,182121,233615,208588,5.13,10.7,434
Ontario,192,196078,258046,227034,5.38,12.0,444
Ontario,184,212140,311490,287096,5.70,7.8,544
Ontario,200,263030,359732,355712,6.14,1.1,612
Ontario,211,282015,397633,425364,6.78,-7.0,759
Ontario,163,239746,485707,461257,8.06,5.0,684
Ontario,159,235949,477701,457037,8.21,4.3,679
Ontario,163,219510,472592,427654,8.17,9.5,610
Quebec,107,102554,126607,119391,5.08,5.7,324
Quebec,119,117177,149722,138322,5.42,7.6,362
Quebec,116,125371,179839,169438,5.47,5.8,407
Quebec,129,143020,201677,193053,5.66,4.3,473
Quebec,130,162142,208768,220125,6.16,-5.4,567
Quebec,118,154582,255299,268432,6.81,-5.1,454
Quebec,115,153848,251890,269607,6.83,-7.0,445
Quebec,120,156209,257931,264747,6.83,-2.6,407
British Columbia,89,71934,104321,91704,5.09,12.1,190
British Columbia,94,78316,114456,98396,5.44,14.0,173
British Columbia,105,95312,132862,120099,5.94,9.6,245
British Columbia,106,101158,142917,143396,6.21,-0.3,253
British Columbia,113,114042,159603,162570,6.59,-1.9,292
British Columbia,97,,177963,,,,254
British Columbia,98,,177401,,,,249
British Columbia,98,,182537,,,,244
Alberta,79,,76287,,,,153
Alberta,81,,93320,,,,169
Alberta,86,,107628,,,,207
Alberta,88,,118213,,,,258
Alberta,87,,127416,,,,287
Alberta,77,,162397,,,,292
Alberta,77,,159805,,,,313
Alberta,75,,170883,,,,303
Saskatchewan,37,17163,12914,11267,4.86,12.8,39
Saskatchewan,39,20691,16683,14032,4.82,15.9,26
Saskatchewan,38,22737,20987,18005,4.04,14.2,43
Saskatchewan,40,22949,23458,20250,4.00,13.7,43
Saskatchewan,46,23792,22159,19497,4.12,12.0,41
Saskatchewan,44,21999,27183,22588,5.03,16.9,51
Saskatchewan,40,22842,27163,23403,5.42,13.8,56
Saskatchewan,37,21029,30491,24729,5.83,18.9,55
Manitoba,28,17132,18699,17003,4.28,9.1,40
Manitoba,29,16975,20598,18002,4.31,12.6,32
Manitoba,31,22059,24153,22209,4.30,8.0,41
Manitoba,29,25008,30692,28841,4.96,6.0,49
Manitoba,35,26217,31321,34918,5.33,-11.5,47
Manitoba,34,23142,38948,36496,5.53,6.3,45
Manitoba,32,24008,38781,36133,5.77,6.8,45
Manitoba,36,24198,39366,35793,5.80,9.1,40
New Brunswick,14,10750,8733,7637,5.32,12.6,18
New Brunswick,15,13080,11482,10656,5.23,7.2,21
New Brunswick,13,11167,13986,12332,5.23,11.8,14
New Brunswick,13,11766,14625,12444,5.74,14.9,34
New Brunswick,14,12083,17959,15322,6.16,14.7,38
New Brunswick,12,11252,18481,14986,6.87,18.9,27
New Brunswick,12,11404,18543,15407,7.20,16.9,21
New Brunswick,12,12070,16876,13616,7.34,19.3,22
Newfoundland and Labrador,17,8203,5745,4995,5.05,13.1,11
Newfoundland and Labrador,15,7941,6537,5446,5.41,16.7,13
Newfoundland and Labrador,12,6894,7027,5788,5.85,17.6,13
Newfoundland and Labrador,11,6568,6388,5225,6.01,18.2,11
Newfoundland and Labrador,14,7468,5763,5152,5.99,10.6,18
Newfoundland and Labrador,13,8245,12331,10322,6.76,16.3,19
Newfoundland and Labrador,13,8095,12545,10200,7.01,18.7,17
Newfoundland and Labrador,14,8530,13263,10740,7.24,19.0,16
Nova Scotia,19,,16807,,,,44
Nova Scotia,20,,18694,,,,41
Nova Scotia,20,,20887,,,,52
Nova Scotia,21,,25169,,,,52
Nova Scotia,20,,27666,,,,48
Nova Scotia,19,,33148,,,,47
Nova Scotia,19,,35006,,,,44
Nova Scotia,19,,34819,,,,48
Prince Edward Island,4,2558,3008,2429,5.21,19.2,5
Prince Edward Island,4,2525,3260,2520,5.47,22.7,5
Prince Edward Island,4,,3628,,,,7
Prince Edward Island,3,,2960,,,,4
Prince Edward Island,3,,3377,,,,4
Prince Edward Island,4,,5093,,,,5
Prince Edward Island,3,,5464,,,,7
Prince Edward Island,3,,5589,,,,7
Yukon/Northwest Territories/Nunavut,5,1522,2292,2255,4.81,1.6,4
Yukon/Northwest Territories/Nunavut,5,1522,2438,2326,5.09,4.6,6
Yukon/Northwest Territories/Nunavut,5,1519,2365,2217,5.32,6.3,4
Yukon/Northwest Territories/Nunavut,4,1425,2477,2271,5.49,8.4,4
Yukon/Northwest Territories/Nunavut,4,1433,2684,2431,5.89,9.4,7
Yukon/Northwest Territories/Nunavut,6,1766,3902,3295,6.33,15.5,8
Yukon/Northwest Territories/Nunavut,6,1868,3738,3400,6.79,9.0,8
Yukon/Northwest Territories/Nunavut,6,1907,3714,3153,7.17,15.1,7
